step,file,cmd_step_deg,expected_deg,odom_theta_deg,theta_err_deg,expected_steps_per_wheel,capture_ms,move_ms,wall_ts
0,shot_000.jpg,30.0,30.0,,,4072.7,655.7,6050.9,1782837385.676
1,shot_001.jpg,30.0,60.0,,,4072.7,517.3,6047.2,1782837392.391
2,shot_002.jpg,30.0,90.0,,,4072.7,453.1,6047.9,1782837399.042
3,shot_003.jpg,30.0,120.0,,,4072.7,448.4,6047.1,1782837405.688
4,shot_004.jpg,30.0,150.0,,,4072.7,517.7,5998.1,1782837412.355
5,shot_005.jpg,30.0,180.0,,,4072.7,432.9,5997.2,1782837418.936
6,shot_006.jpg,30.0,210.0,,,4072.7,501.2,6049.1,1782837425.636
7,shot_007.jpg,30.0,240.0,,,4072.7,434.2,6047.9,1782837432.269
8,shot_008.jpg,30.0,270.0,,,4072.7,460.6,6050.1,1782837438.93
9,shot_009.jpg,30.0,300.0,,,4072.7,451.5,6000.3,1782837445.533
10,shot_010.jpg,30.0,330.0,,,4072.7,496.5,6048.4,1782837452.228
11,shot_011.jpg,30.0,0.0,,,4072.7,453.7,6051.4,1782837458.884
